eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum,session_id,text
text-insert,user,2021-08-21 00:01:53.600,"{'ops': [{'retain': 1282}, {'insert': 't'}]}",,,1283,[],0,0.0,5,30,0.2,1,0,0.5,831,f5649183e4c24bd785459406069e0530,
text-insert,user,2021-09-01 09:47:20.662,"{'ops': [{'retain': 1164}, {'insert': 'c'}]}",,,1165,[],1,1.0,5,30,0.9,1,0,0.5,1050,a9aa499623e3453dbcd52de1c862f71b,
text-insert,user,2021-08-23 13:18:37.605,"{'ops': [{'retain': 614}, {'insert': ' '}]}",,,615,[],0,3.0,5,30,0.3,1,0,0.0,607,f4726c879c9d4e43ab6a63a3d732a988,
text-insert,user,2021-08-16 07:06:05.612,"{'ops': [{'retain': 1038}, {'insert': 'e'}]}",,,1039,[],2,3.0,5,30,0.3,1,0,0.0,945,e0435f4cf6fc435c872ffc5b66b66b0c,
text-insert,user,2021-08-23 19:36:59.286,"{'ops': [{'retain': 407}, {'insert': 'a'}]}",,,408,[],1,1.0,5,30,0.3,1,0,0.0,137,af3a9e8494e54fa0a28ecb7267f02018,
text-insert,user,2021-08-20 04:51:31.034,"{'ops': [{'retain': 1713}, {'insert': 'u'}]}",,,1714,[],0,3.0,5,30,0.3,1,0,0.0,1485,dc2078ed9a2d4ebd84853c014639bd1f,
text-insert,user,2021-08-16 16:20:54.832,"{'ops': [{'retain': 1262}, {'insert': 'u'}]}",,,1263,[],0,2.0,5,30,0.75,1,0,1.0,792,bf739551dea348c48635d2fbabb51ed3,
text-insert,user,2021-08-31 15:41:40.329,"{'ops': [{'retain': 212}, {'insert': 'a'}]}",,,213,[],0,,5,30,0.75,1,0,1.0,361,5819265ac490471ab03a42fd906beaed,
text-insert,user,2021-08-18 20:42:42.366,"{'ops': [{'retain': 2525}, {'insert': 'a'}]}",,,2526,[],0,4.0,5,30,0.75,1,0,1.0,2205,2043279d646845e9b3875b5d0a66d610,
text-insert,user,2021-08-30 12:27:42.206,"{'ops': [{'retain': 2010}, {'insert': 'i'}]}",,,2011,[],0,0.0,5,30,0.3,1,0,0.0,2375,9a29f841869a4fd98cf358da50f4a340,
text-insert,user,2021-08-24 11:35:52.631,"{'ops': [{'retain': 1533}, {'insert': 'c'}]}",,,1534,[],0,3.0,5,30,0.9,1,0,0.5,879,f1d70b54c33f475192d3f503a4c6fd84,
text-insert,user,2021-08-27 08:56:20.092,"{'ops': [{'retain': 337}, {'insert': 'c'}]}",,,338,[],0,,5,30,0.75,1,0,1.0,299,6e886e695d98418e9eaca62a07bcef02,
text-insert,user,2021-08-18 11:18:58.161,"{'ops': [{'retain': 419}, {'insert': ':'}]}",,,420,[],0,,5,30,0.3,1,0,0.0,222,a1fa02bf79464edb893ec5b1b5fa1908,
text-insert,user,2021-08-23 19:42:09.523,"{'ops': [{'retain': 1456}, {'insert': 'w'}]}",,,1457,[],2,2.0,5,30,0.9,1,0,0.5,831,afa0f80124e94b3b9793b29f814765c4,
text-insert,user,2021-08-29 05:48:06.041,"{'ops': [{'retain': 661}, {'insert': 'u'}]}",,,662,[],0,2.0,5,30,0.3,1,0,0.0,546,047a25c3382c42999ceb1c78f6ebd524,
text-insert,user,2021-08-29 07:40:27.474,"{'ops': [{'retain': 2053}, {'insert': 'y'}]}",,,2054,[],3,3.0,5,30,0.75,1,0,1.0,1550,105bf88bb4bc42688e06a54644e2989b,
text-insert,user,2021-09-04 11:47:52.301,"{'ops': [{'retain': 2063}, {'insert': ' '}]}",,,2064,[],3,3.0,5,30,0.9,1,0,0.5,1204,7e6000f8efb947be88e5a6661b737eff,
text-insert,user,2021-08-23 18:00:51.740,"{'ops': [{'retain': 582}, {'insert': 'n'}]}",,,583,[],0,0.0,5,30,0.2,1,0,0.5,259,fd520baa3a5a4cd3967318729d67382f,
text-insert,user,2021-08-26 22:07:09.750,"{'ops': [{'retain': 3488}, {'insert': 'a'}]}",,,3489,[],3,3.0,5,30,0.9,1,0,0.5,3753,982b7a3621a745a8a4b5b7aea92938b0,
text-insert,user,2021-08-26 14:40:06.198,"{'ops': [{'retain': 1350}, {'insert': 'e'}]}",,,1351,[],3,3.0,5,30,0.3,1,0,0.0,1119,a0cc548fb40a4e22b1963674fb4b1f83,
text-insert,user,2021-09-05 23:13:26.012,"{'ops': [{'retain': 863}, {'insert': '\n'}]}",,,863,[],1,1.0,5,30,0.3,1,0,0.0,547,ceaefdd012e2487990dd4fc021233919,
text-insert,user,2021-08-20 20:51:58.843,"{'ops': [{'retain': 1388}, {'insert': 'l'}]}",,,1389,[],0,,5,30,0.2,1,0,0.5,1058,193eacf06dee44f788a52e1d2652419b,
text-insert,user,2021-08-16 02:37:07.547,"{'ops': [{'retain': 1388}, {'insert': '""'}]}",,,1389,[],0,2.0,5,30,0.75,1,0,1.0,810,4951e256dc4f4b44a90c95f8af2f34b7,
text-insert,user,2021-08-31 15:48:53.318,"{'ops': [{'retain': 1110}, {'insert': 'k'}]}",,,1111,[],1,1.0,5,30,0.75,1,0,1.0,1216,6d6a8d63190243f685256031a59166dd,
text-insert,user,2021-08-24 11:13:27.635,"{'ops': [{'retain': 1333}, {'insert': 'n'}]}",,,1334,[],0,1.0,5,30,0.3,1,0,0.0,731,ccd58d9e5614445c9ee036243195b7cf,
text-insert,user,2021-08-17 22:56:35.089,"{'ops': [{'retain': 1199}, {'insert': 'l'}]}",,,1200,[],0,,5,30,0.3,1,0,0.0,1067,116ae37dd7f5497c8257767b81a72cf3,
text-insert,user,2021-08-26 20:13:55.859,"{'ops': [{'retain': 699}, {'insert': 'd'}]}",,,700,[],3,3.0,5,30,0.75,1,0,1.0,519,3c7c9a37b4eb4c76b275e6cd975f900f,
text-insert,user,2021-08-16 04:08:21.225,"{'ops': [{'retain': 2125}, {'insert': ' '}]}",,,2126,[],0,0.0,5,30,0.3,1,0,0.0,1830,a567ef08f6c54b6bbfa892f39c462934,
text-insert,user,2021-09-01 02:54:24.315,"{'ops': [{'retain': 1199}, {'insert': 'n'}]}",,,1200,[],0,0.0,5,30,0.2,1,0,0.5,920,d7de4777f84246b8896f38fac0494b17,
text-insert,user,2021-08-19 11:38:41.730,"{'ops': [{'retain': 2412}, {'insert': 'i'}]}",,,2413,[],0,1.0,5,30,0.9,1,0,0.5,2522,917d343c54e145969496c1aabe8c321c,
text-insert,user,2021-09-01 06:47:04.726,"{'ops': [{'retain': 1264}, {'insert': 'b'}]}",,,1265,[],0,3.0,5,30,0.3,1,0,0.0,1169,111ee57118054cc6b8fa4ef98c1a3408,
text-insert,user,2021-08-25 01:46:52.232,"{'ops': [{'retain': 621}, {'insert': 'e'}]}",,,622,[],0,1.0,5,30,0.75,1,0,1.0,305,6ccf934ffb284b76b9fa7e57ecabd06b,
text-insert,user,2021-08-28 07:09:16.570,"{'ops': [{'retain': 2813}, {'insert': 'r'}]}",,,2814,[],3,3.0,5,30,0.9,1,0,0.5,1638,6f952927ae564d28bf573199e132ba66,
text-insert,user,2021-08-31 20:53:42.300,"{'ops': [{'retain': 609}, {'insert': 't'}]}",,,610,[],4,4.0,5,30,0.75,1,0,1.0,664,8e6cbcb7ebb3489ebf2678edddfd9e6f,
text-insert,user,2021-08-20 05:26:35.086,"{'ops': [{'retain': 424}, {'insert': 's'}]}",,,425,[],0,,5,30,0.2,1,0,0.5,111,269f101ba0da4aa3a5ce0bf3a65bade1,
text-insert,user,2021-08-25 02:07:34.107,"{'ops': [{'retain': 2345}, {'insert': 'o'}]}",,,2346,[],1,1.0,5,30,0.75,1,0,1.0,1591,fb763e77cfa94c7180537892300832e6,
text-insert,user,2021-09-04 01:50:44.275,"{'ops': [{'retain': 323}, {'insert': 'o'}]}",,,324,[],0,,5,30,0.3,1,0,0.0,123,02ef07c642254b088b72486ce41e010c,
text-insert,user,2021-09-05 04:23:34.907,"{'ops': [{'retain': 3077}, {'insert': ','}]}",,,3078,[],2,2.0,5,30,0.2,1,0,0.5,1338,5300d0e4c21f40538eb8a2ec41b55124,
text-insert,user,2021-08-24 08:34:02.198,"{'ops': [{'retain': 749}, {'insert': 'T'}]}",,,750,[],0,0.0,5,30,0.3,1,0,0.0,853,e139a4f9ea0c4ea3b7b3481eea070f29,
